"family_key","first_octets","ssids","sightings","hidden_count","visible_count","sensors","first_octet_count"
"e8:29:12:6c:dc","18; 1e; 22; 26","(hidden); DeerGrove; DGManagement","60165","27065","33100","windows; android","4"
"d7:9a:75:96:9c","68; 6e; 72; 76","(hidden); DeerGrove; DGManagement","59998","26655","33343","windows; android","4"
"8b:a9:98:e0:90","ac; b2; b6; ba","(hidden); DeerGrove; DGManagement","59845","24173","35672","windows; android","4"
"d7:9a:75:97:b0","68; 6e; 72; 76","(hidden); DeerGrove; DGManagement","58105","24810","33295","windows; android","4"
"d7:9a:75:97:bc","68; 6e; 72; 76","(hidden); DeerGrove; DGManagement","57238","26005","31233","windows; android","4"
"d7:9a:75:97:dd","68; 6e; 72; 76","(hidden); DeerGrove; DGManagement","56824","23329","33495","windows; android","4"
"d7:9a:75:97:d9","68; 6e; 72; 76","(hidden); DeerGrove; DGManagement","44093","16467","27626","windows; android","4"
"d7:9a:74:97:b0","68; 6e; 72","(hidden); DeerGrove; DGManagement","43548","12773","30775","windows; android","3"
"e8:29:11:6c:dc","18; 1e; 22","(hidden); DeerGrove; DGManagement","37670","11961","25709","windows; android","3"
"d7:9a:74:97:bc","68; 6e; 72","(hidden); DeerGrove; DGManagement","37102","12675","24427","windows; android","3"
"d7:9a:74:97:d9","68; 6e; 72","(hidden); DeerGrove; DGManagement","34545","11055","23490","windows; android","3"
"8b:a9:97:e0:90","ac; b2; b6","(hidden); DeerGrove; DGManagement","33600","12713","20887","windows; android","3"
